"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 30 17:33:40 JST 2024","Tue Jul 30 17:39:19 JST 2024","338841","","02 iOS create spec:","","02 iOS create spec:","[iOS][出品_0008]出品中商品を再編集出品できる @iOS_create_0008","[iOS][出品_0008]出品中商品を再編集出品できる @iOS_create_0008",""
"passed","Tue Jul 30 13:50:00 JST 2024","Tue Jul 30 13:53:57 JST 2024","237105","","05 iOS purchase spec:","","05 iOS purchase spec:","[iOS][purchase_010]「すべてラクマポイント」で購入できる @iOS_purchase_010","[iOS][purchase_010]「すべてラクマポイント」で購入できる @iOS_purchase_010",""
"passed","Mon Jul 29 19:11:31 JST 2024","Mon Jul 29 19:12:31 JST 2024","59666","","03 iOS search spec:","","03 iOS search spec:","[ios][サーチ_0004]除外キーワードで除外商品がサーチできない @iOS_search_004","[ios][サーチ_0004]除外キーワードで除外商品がサーチできない @iOS_search_004",""
"passed","Tue Jul 30 10:35:20 JST 2024","Tue Jul 30 10:37:16 JST 2024","116229","","01 Android login spec:","","01 Android login spec:","[Android][ログイン_0001]2FAがONを設定する場合、未認証な会員が楽天IDでログインすれば、2FA認証必要しない @Android_login_0001","[Android][ログイン_0001]2FAがONを設定する場合、未認証な会員が楽天IDでログインすれば、2FA認証必要しない @Android_login_0001",""
"passed","Mon Jul 29 19:29:49 JST 2024","Mon Jul 29 19:33:26 JST 2024","216249","","05 Android purchase spec @P005:","","05 Android purchase spec @P005:","「ATM」で購入できる @Android_purchase_006","「ATM」で購入できる @Android_purchase_006",""
"passed","Tue Jul 30 12:46:34 JST 2024","Tue Jul 30 12:52:12 JST 2024","337651","","06 iOS delivery spec:","","06 iOS delivery spec:","[ios][配送_0004][配送]出品者負担（普通郵便）で発送できる @iOS_delivery_004","[ios][配送_0004][配送]出品者負担（普通郵便）で発送できる @iOS_delivery_004",""
"passed","Mon Jul 29 19:36:56 JST 2024","Mon Jul 29 19:40:54 JST 2024","238285","","05 Android purchase spec @P005:","","05 Android purchase spec @P005:","「すべて楽天ポイント」で購入できる @Android_purchase_009","「すべて楽天ポイント」で購入できる @Android_purchase_009",""
"passed","Mon Jul 29 14:29:22 JST 2024","Mon Jul 29 14:30:35 JST 2024","73338","","03 Android Search spec @P003:","","03 Android Search spec @P003:","[Android][サーチ_0002]キーワード検索で商品のカテゴリサーチができる @Android_サーチ_0002","[Android][サーチ_0002]キーワード検索で商品のカテゴリサーチができる @Android_サーチ_0002",""
"passed","Mon Jul 29 14:33:17 JST 2024","Mon Jul 29 14:35:39 JST 2024","141632","","03 Android Search spec @P003:","","03 Android Search spec @P003:","[Android][サーチ_0006]詳細検索で縦積商品がサーチできる @Android_サーチ_0006","[Android][サーチ_0006]詳細検索で縦積商品がサーチできる @Android_サーチ_0006",""
"passed","Mon Jul 29 14:32:11 JST 2024","Mon Jul 29 14:33:17 JST 2024","66507","","03 Android Search spec @P003:","","03 Android Search spec @P003:","[Android][サーチ_0005]詳細検索で普通商品がサーチできる @Android_サーチ_0005","[Android][サーチ_0005]詳細検索で普通商品がサーチできる @Android_サーチ_0005",""
"passed","Mon Jul 29 10:16:54 JST 2024","Mon Jul 29 10:18:25 JST 2024","91538","","02 Android create spec @P002:","","02 Android create spec @P002:","[Android][出品_0006]出品前下書商品を削除できる @Android_create_0006","[Android][出品_0006]出品前下書商品を削除できる @Android_create_0006",""
"passed","Tue Jul 30 13:32:09 JST 2024","Tue Jul 30 13:37:57 JST 2024","348098","","05 iOS purchase spec:","","05 iOS purchase spec:","[iOS][purchase_005]「FamiPay＋一部楽天ポイント優先＋ラクマポイント＋coupon」で購入できる @iOS_purchase_005","[iOS][purchase_005]「FamiPay＋一部楽天ポイント優先＋ラクマポイント＋coupon」で購入できる @iOS_purchase_005",""
"passed","Tue Jul 30 17:15:11 JST 2024","Tue Jul 30 17:27:00 JST 2024","709832","","04 iOS itemDetail spec:","","04 iOS itemDetail spec:","[iOS][item_detail_0002]普通商品が購入申請場合、item_detail画面の表示を確認する @iOS_item_detail_002","[iOS][item_detail_0002]普通商品が購入申請場合、item_detail画面の表示を確認する @iOS_item_detail_002",""
"passed","Mon Jul 29 19:12:32 JST 2024","Mon Jul 29 19:14:51 JST 2024","139166","","03 iOS search spec:","","03 iOS search spec:","[ios][サーチ_0005]詳細検索で普通商品がサーチできる @iOS_search_005","[ios][サーチ_0005]詳細検索で普通商品がサーチできる @iOS_search_005",""
